"Shape","Date","Value"
"triangle","Dec-13"," 44"
"triangle","Dec-14"," 47"
"triangle","Dec-15"," 40"
"triangle","Dec-16"," 27"
"triangle","Feb-13"," 24"
"triangle","Feb-14"," 43"
"triangle","Feb-15"," 33"
"triangle","Feb-16"," 49"
"triangle","Feb-17"," 27"
"triangle","Jan-13"," 34"
"triangle","Jan-14"," 60"
"triangle","Jan-15"," 47"
"triangle","Jan-16"," 39"
"triangle","Jan-17"," 22"
"triangle","Jul-13"," 76"
"triangle","Jul-14"," 51"
"triangle","Jul-15"," 66"
"triangle","Jul-16"," 53"
"triangle","Jul-17"," 29"
"triangle","Jun-13"," 34"
"triangle","Jun-14"," 66"
"triangle","Jun-15"," 39"
"triangle","Jun-16"," 18"
"triangle","Jun-17"," 20"
"triangle","Mar-13"," 40"
"triangle","Mar-14"," 61"
"triangle","Mar-15"," 55"
"triangle","Mar-16"," 47"
"triangle","Mar-17"," 31"
"triangle","May-13"," 49"
"triangle","May-14"," 53"
"triangle","May-15"," 25"
"triangle","May-16"," 40"
"triangle","May-17"," 26"
"triangle","Nov-13"," 73"
"triangle","Nov-14"," 40"
"triangle","Nov-15"," 73"
"triangle","Nov-16"," 43"
"triangle","Oct-13"," 66"
"triangle","Oct-14"," 74"
"triangle","Oct-15"," 57"
"triangle","Oct-16"," 49"
"triangle","Sep-13"," 62"
"triangle","Sep-14"," 80"
"triangle","Sep-15"," 53"
"triangle","Sep-16"," 66"
